item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD002900,PROD00135,1,13320,25
ITEM000002,ORD004612,PROD00221,5,51413,5
ITEM000003,ORD004368,PROD00093,5,34709,0
ITEM000004,ORD004349,PROD00043,5,15401,25
ITEM000005,ORD001357,PROD00163,3,10703,0
ITEM000006,ORD001246,PROD00139,5,15128,30
ITEM000007,ORD001657,PROD00072,5,28088,30
ITEM000008,ORD003194,PROD00231,1,26571,10
ITEM000009,ORD003834,PROD00083,5,27907,15
ITEM000010,ORD000003,PROD00020,2,47587,10
ITEM000011,ORD002553,PROD00054,3,46721,20
ITEM000012,ORD000486,PROD00194,5,39227,0
ITEM000013,ORD003940,PROD00211,4,9494,5
ITEM000014,ORD001987,PROD00101,2,50408,30
ITEM000015,ORD003204,PROD00152,2,42641,15
ITEM000016,ORD002871,PROD00019,2,16590,30
ITEM000017,ORD003289,PROD00032,2,18402,5
ITEM000018,ORD001687,PROD00114,5,44360,5
ITEM000019,ORD002683,PROD00003,2,44355,10
ITEM000020,ORD004295,PROD00027,1,34419,10
ITEM000021,ORD003591,PROD00077,5,31174,5
ITEM000022,ORD004998,PROD00117,1,35771,25
ITEM000023,ORD002797,PROD00225,2,4913,30
ITEM000024,ORD002093,PROD00029,3,2985,15
ITEM000025,ORD001380,PROD00225,4,28212,20
ITEM000026,ORD001841,PROD00134,-4,50006,10
ITEM000027,ORD004943,PROD00246,1,6104,25
ITEM000028,ORD001977,PROD00223,5,56994,10
ITEM000029,ORD003543,PROD00108,4,55134,25
ITEM000030,ORD002296,PROD00216,1,42115,0
ITEM000031,ORD004161,PROD00085,3,59592,10
ITEM000032,ORD002059,PROD00092,4,44011,30
ITEM000033,ORD003978,PROD00063,1,1147,0
ITEM000034,ORD004843,PROD00112,5,32738,5
ITEM000035,ORD003997,PROD00144,3,7113,30
ITEM000036,ORD003079,PROD00156,5,55180,20
ITEM000037,ORD003135,PROD00011,5,57342,25
ITEM000038,ORD000808,PROD00148,5,7364,20
ITEM000039,ORD001955,PROD00093,1,7998,30
ITEM000040,ORD004947,PROD00108,5,44380,25
ITEM000041,ORD000327,PROD00089,4,47373,25
ITEM000042,ORD004697,PROD00222,4,56151,15
ITEM000043,ORD003538,PROD00172,5,2742,15
ITEM000044,ORD001481,PROD00007,1,14458,20
ITEM000045,ORD003377,PROD00206,3,6775,10
ITEM000046,ORD002077,PROD00092,1,48079,15
ITEM000047,ORD002267,PROD00115,3,23393,5
ITEM000048,ORD002156,PROD00197,1,21567,15
ITEM000049,ORD004484,PROD00166,2,14021,20
ITEM000050,ORD002856,PROD00200,3,48842,15
ITEM000051,ORD000729,PROD00086,2,55659,15
ITEM000052,ORD001865,PROD00082,3,40696,20
ITEM000053,ORD000741,PROD00164,3,6938,25
ITEM000054,ORD004074,PROD00164,4,20807,20
ITEM000055,ORD001657,PROD00068,2,49882,15
ITEM000056,ORD003587,PROD00230,4,23276,10
ITEM000057,ORD001381,PROD00083,3,49764,5
ITEM000058,ORD004767,PROD00080,1,7605,5
ITEM000059,ORD004592,PROD00076,5,46190,25
ITEM000060,ORD003261,PROD00159,5,35575,5
ITEM000061,ORD000742,PROD00183,1,13316,0
ITEM000062,ORD003315,PROD00219,5,57770,25
ITEM000063,ORD002787,PROD00137,3,9852,25
ITEM000064,ORD003156,PROD00027,3,26301,5
ITEM000065,ORD000674,PROD00083,3,40501,20
ITEM000066,ORD000335,PROD00063,2,29302,30
ITEM000067,ORD002243,PROD00007,5,10458,25
ITEM000068,ORD001794,PROD00063,4,15010,30
ITEM000069,ORD001770,PROD00038,2,29159,25
ITEM000070,ORD000171,PROD00220,1,19750,5
ITEM000071,ORD003596,PROD00107,5,31971,30
ITEM000072,ORD001575,PROD00106,5,36425,20
ITEM000073,ORD004759,PROD00103,2,55868,20
ITEM000074,ORD002143,PROD00181,5,58535,15
ITEM000075,ORD002160,PROD00111,-3,52953,30
ITEM000076,ORD002623,PROD00139,3,24188,5
ITEM000077,ORD001102,PROD00083,3,5348,25
ITEM000078,ORD004743,PROD00033,2,52437,20
ITEM000079,ORD003898,PROD00138,1,51694,20
ITEM000080,ORD004949,PROD00059,3,7168,30
ITEM000081,ORD004539,PROD00211,3,47326,25
ITEM000082,ORD004705,PROD00215,2,30793,10
ITEM000083,ORD003588,PROD00128,1,30462,20
ITEM000084,ORD001404,PROD00006,5,28885,0
ITEM000085,ORD000472,PROD00230,5,29690,20
ITEM000086,ORD001212,PROD00017,3,31536,30
ITEM000087,ORD002262,PROD00146,3,4586,25
ITEM000088,ORD000226,PROD00183,3,59054,25
ITEM000089,ORD001093,PROD00102,5,32465,15
ITEM000090,ORD002539,PROD00138,2,43671,15
ITEM000091,ORD004669,PROD00205,3,21961,5
ITEM000092,ORD004421,PROD00175,5,26982,5
ITEM000093,ORD000056,PROD00249,5,20908,30
ITEM000094,ORD002936,PROD00151,5,3771,25
ITEM000095,ORD000522,PROD00136,1,51065,0
ITEM000096,ORD001595,PROD00064,4,48166,5
ITEM000097,ORD001470,PROD00214,5,51007,30
ITEM000098,ORD004055,PROD00187,2,2232,25
ITEM000099,ORD000772,PROD00243,1,22044,0
ITEM000100,ORD003174,PROD00207,-4,37917,25
ITEM000101,ORD003887,PROD00036,4,25288,25
ITEM000102,ORD002550,PROD00091,3,12292,0
ITEM000103,ORD002065,PROD00128,-2,46651,15
ITEM000104,ORD003289,PROD00052,1,12395,10
ITEM000105,ORD000669,PROD00087,2,23316,25
ITEM000106,ORD004292,PROD00066,4,49570,0
ITEM000107,ORD000499,PROD00143,1,57925,20
ITEM000108,ORD000783,PROD00044,-1,45042,10
ITEM000109,ORD000039,PROD00084,1,34976,0
ITEM000110,ORD004654,PROD00145,4,20371,0
ITEM000111,ORD001413,PROD00049,3,56618,0
ITEM000112,ORD004385,PROD00056,5,32950,5
ITEM000113,ORD001268,PROD00154,3,6654,30
ITEM000114,ORD003611,PROD00181,3,37916,5
ITEM000115,ORD003647,PROD00008,2,33548,5
ITEM000116,ORD000986,PROD00207,5,2841,20
ITEM000117,ORD002860,PROD00175,3,19399,0
ITEM000118,ORD001372,PROD00231,2,38973,20
ITEM000119,ORD004944,PROD00040,1,32914,5
ITEM000120,ORD004490,PROD00213,5,22411,15
ITEM000121,ORD000954,PROD00172,4,51684,15
ITEM000122,ORD002018,PROD00094,5,4590,10
ITEM000123,ORD004021,PROD00049,2,15992,30
ITEM000124,ORD000481,PROD00235,4,3025,10
ITEM000125,ORD004843,PROD00026,4,53443,30
ITEM000126,ORD002626,PROD00234,5,6260,25
ITEM000127,ORD004358,PROD00134,5,37196,20
ITEM000128,ORD001647,PROD00073,4,49905,20
ITEM000129,ORD001623,PROD00075,3,9178,15
ITEM000130,ORD003089,PROD00022,4,26792,15
ITEM000131,ORD000855,PROD00083,4,1861,15
ITEM000132,ORD003186,PROD00079,5,32026,20
ITEM000133,ORD002353,PROD00198,4,51834,30
ITEM000134,ORD000342,PROD00049,1,34873,30
ITEM000135,ORD004680,PROD00139,1,20427,20
ITEM000136,ORD000393,PROD00137,-2,42304,10
ITEM000137,ORD003154,PROD00049,1,3393,10
ITEM000138,ORD003554,PROD00190,3,35542,0
ITEM000139,ORD001461,PROD00131,5,34639,30
ITEM000140,ORD000367,PROD00234,3,44938,25
ITEM000141,ORD001522,PROD00229,2,6765,15
ITEM000142,ORD000598,PROD00183,2,46988,10
ITEM000143,ORD004679,PROD00164,2,32758,5
ITEM000144,ORD003126,PROD00053,5,1321,0
ITEM000145,ORD001970,PROD00169,1,19334,0
ITEM000146,ORD001871,PROD00096,3,11903,15
ITEM000147,ORD001161,PROD00154,4,3233,5
ITEM000148,ORD002116,PROD00226,2,41047,25
ITEM000149,ORD002538,PROD00053,4,44890,20
ITEM000150,ORD000084,PROD00107,3,27117,25
ITEM000151,ORD001553,PROD00210,4,25015,10
ITEM000152,ORD000086,PROD00161,4,16908,20
ITEM000153,ORD003680,PROD00033,4,3039,25
ITEM000154,ORD000938,PROD00030,2,4921,25
ITEM000155,ORD004003,PROD00018,2,59427,30
ITEM000156,ORD001372,PROD00242,2,35488,10
ITEM000157,ORD003263,PROD00073,3,44923,25
ITEM000158,ORD004671,PROD00067,5,19072,10
ITEM000159,ORD003236,PROD00211,1,50172,0
ITEM000160,ORD004080,PROD00052,2,5969,20
ITEM000161,ORD003842,PROD00123,2,34262,0
ITEM000162,ORD000312,PROD00214,1,7601,5
ITEM000163,ORD000553,PROD00062,4,12389,0
ITEM000164,ORD003589,PROD00190,4,40625,10
ITEM000165,ORD000337,PROD00170,2,29268,20
ITEM000166,ORD001724,PROD00186,5,50552,5
ITEM000167,ORD000117,PROD00243,3,3167,20
ITEM000168,ORD002055,PROD00236,2,22670,30
ITEM000169,ORD001644,PROD00231,2,23245,15
ITEM000170,ORD001255,PROD00243,1,25945,15
ITEM000171,ORD001846,PROD00048,3,33434,0
ITEM000172,ORD003596,PROD00007,2,22312,25
ITEM000173,ORD002014,PROD00155,4,4847,30
ITEM000174,ORD001320,PROD00037,5,19161,20
ITEM000175,ORD000913,PROD00176,-5,21111,0
ITEM000176,ORD004377,PROD00005,1,27164,20
ITEM000177,ORD002636,PROD00095,5,47517,5
ITEM000178,ORD001915,PROD00002,1,9703,0
ITEM000179,ORD000479,PROD00209,4,524,20
ITEM000180,ORD000981,PROD00220,4,50677,20
ITEM000181,ORD000289,PROD00145,2,50249,25
ITEM000182,ORD003903,PROD00240,5,5144,0
ITEM000183,ORD002314,PROD00176,5,42556,15
ITEM000184,ORD001947,PROD00175,5,25647,15
ITEM000185,ORD002828,PROD00163,4,40447,10
ITEM000186,ORD003721,PROD00138,4,31700,5
ITEM000187,ORD002350,PROD00164,3,14969,5
ITEM000188,ORD001314,PROD00095,2,25757,10
ITEM000189,ORD002457,PROD00037,1,28594,30
ITEM000190,ORD004436,PROD00219,1,30442,15
ITEM000191,ORD002892,PROD00054,2,26660,5
ITEM000192,ORD003774,PROD00188,4,27899,15
ITEM000193,ORD003798,PROD00094,4,29390,15
ITEM000194,ORD003268,PROD00035,3,21665,25
ITEM000195,ORD001778,PROD00183,5,13794,5
ITEM000196,ORD002978,PROD00231,2,37549,5
ITEM000197,ORD003345,PROD00096,4,36227,30
ITEM000198,ORD001158,PROD00121,3,14292,15
ITEM000199,ORD003706,PROD00077,1,35874,25
ITEM000200,ORD001634,PROD00056,5,27308,0
ITEM000201,ORD003149,PROD00240,3,36455,5
ITEM000202,ORD003629,PROD00007,5,28597,5
ITEM000203,ORD001412,PROD00070,2,25594,20
ITEM000204,ORD003293,PROD00148,5,50712,5
ITEM000205,ORD002593,PROD00120,2,10175,15
ITEM000206,ORD001070,PROD00196,2,57187,25
ITEM000207,ORD004347,PROD00189,4,21023,20
ITEM000208,ORD000536,PROD00022,1,44614,0
ITEM000209,ORD000433,PROD00085,1,868,30
ITEM000210,ORD001664,PROD00191,-1,20832,10
ITEM000211,ORD000541,PROD00093,2,14259,10
ITEM000212,ORD004780,PROD00232,5,59888,10
ITEM000213,ORD001436,PROD00075,4,31435,10
ITEM000214,ORD004603,PROD00041,3,6951,30
