order_id,customer_id,order_date,status,region_code
ORD000001,CUST00961,2025-05-19 12:50:57,PLACED,EAST
ORD000002,CUST00573,2023-07-13 10:52:55,CANCELLED,EAST
ORD000003,CUST00833,2024-06-07 00:41:07,SHIPPED,CENTRAL
ORD000004,CUST00096,2023-07-29 15:18:24,CANCELLED,CENTRAL
ORD000005,CUST00371,2024-07-09 00:00:00,PLACED,EAST
ORD000006,CUST00317,2026-05-21 02:41:52,SHIPPED,SOUTH
ORD000007,CUST00350,2025-01-04 18:19:38,CANCELLED,SOUTH
ORD000008,CUST00232,2024-04-21 09:51:56,SHIPPED,SOUTH
ORD000009,CUST00080,2023-11-15 15:59:15,DELIVERED,NORTH
ORD000010,CUST00520,2026-02-05 20:35:40,RETURNED,CENTRAL
ORD000011,CUST00039,2026-02-24 04:18:04,DELIVERED,CENTRAL
ORD000012,CUST00135,2024-10-11 21:06:27,RETURNED,WEST
ORD000013,CUST00158,2024-06-06 10:46:33,SHIPPED,SOUTH
ORD000014,CUST00852,2024-06-26 19:33:42,RETURNED,SOUTH
ORD000015,CUST00739,2025-08-04 00:18:51,CANCELLED,NORTH
ORD000016,CUST00421,2025-01-12 19:22:59,DELIVERED,SOUTH
ORD000017,CUST00993,2023-08-25 01:38:55,CANCELLED,CENTRAL
ORD000018,CUST00292,2024-09-07 01:08:54,CANCELLED,SOUTH
ORD000019,CUST00547,2025-08-02 12:07:13,SHIPPED,EAST
ORD000020,CUST00989,2026-06-26 14:35:36,CANCELLED,SOUTH
ORD000021,CUST00377,2026-01-25 08:06:56,RETURNED,WEST
ORD000022,CUST00473,2024-05-18 17:05:45,DELIVERED,WEST
ORD000023,CUST00515,2023-07-09 23:49:11,RETURNED,WEST
ORD000024,CUST00990,2024-04-28 12:26:17,SHIPPED,SOUTH
ORD000025,CUST00821,2026-03-16 16:24:57,RETURNED,SOUTH
ORD000026,CUST00894,2025-03-05 04:57:21,DELIVERED,NORTH
ORD000027,CUST00657,2023-12-18 06:10:44,CANCELLED,EAST
ORD000028,CUST00568,2024-09-01 18:03:32,PLACED,CENTRAL
ORD000029,CUST00872,2025-11-28 23:27:42,PLACED,EAST
ORD000030,CUST00086,2025-08-14 03:17:04,SHIPPED,EAST
ORD000031,CUST00461,2025-08-04 07:52:11,RETURNED,SOUTH
ORD000032,CUST00851,2024-03-19 17:38:22,CANCELLED,NORTH
ORD000033,CUST00970,2025-11-02 01:50:08,SHIPPED,WEST
ORD000034,,2024-04-24 22:04:17,DELIVERED,NORTH
ORD000035,CUST00425,2026-04-18 22:21:07,PLACED,WEST
ORD000036,CUST00515,2025-11-23 16:52:48,DELIVERED,SOUTH
ORD000037,CUST00396,2026-05-08 02:18:48,PLACED,EAST
ORD000038,CUST00230,2026-05-23 22:53:50,PLACED,EAST
ORD000039,CUST00954,2026-01-20 14:14:19,PLACED,EAST
ORD000040,CUST00811,2025-11-22 19:44:52,SHIPPED,SOUTH
ORD000041,CUST00040,2024-03-27 13:58:56,DELIVERED,WEST
ORD000042,CUST00713,2023-10-08 10:36:48,SHIPPED,WEST
ORD000043,CUST00460,2025-12-28 14:09:28,RETURNED,NORTH
ORD000044,CUST00928,2024-01-14 03:09:53,PLACED,NORTH
ORD000045,CUST00263,2023-10-07 23:00:26,SHIPPED,SOUTH
ORD000046,CUST00562,2024-01-12 20:45:41,RETURNED,CENTRAL
ORD000047,CUST00434,2024-08-05 05:17:41,PLACED,EAST
ORD000048,CUST00244,2025-11-30 05:19:38,DELIVERED,NORTH
ORD000049,CUST00049,2024-06-17 00:57:01,SHIPPED,WEST
ORD000050,CUST00655,2025-09-18 11:37:37,RETURNED,WEST
ORD000051,CUST00065,2024-08-28 01:28:51,PLACED,WEST
ORD000052,CUST00612,2024-04-21 22:32:12,RETURNED,NORTH
ORD000053,CUST00648,2026-05-17 02:40:17,RETURNED,CENTRAL
ORD000054,CUST00248,2023-08-03 19:40:32,SHIPPED,EAST
ORD000055,CUST00440,2026-06-09 10:10:35,PLACED,CENTRAL
ORD000056,CUST00362,2026-05-16 17:33:53,SHIPPED,CENTRAL
ORD000057,CUST00427,2025-10-03 19:17:33,SHIPPED,NORTH
ORD000058,CUST00537,2026-02-07 10:23:36,DELIVERED,NORTH
ORD000059,CUST00977,2024-07-25 19:22:25,RETURNED,CENTRAL
ORD000060,CUST00520,2026-05-21 07:23:44,RETURNED,CENTRAL
ORD000061,CUST00021,2025-11-15 00:25:47,CANCELLED,WEST
ORD000062,CUST00045,2025-06-03 01:23:07,CANCELLED,EAST
ORD000063,CUST00260,2023-07-01 22:40:44,PLACED,EAST
ORD000064,CUST00808,2025-04-22 09:46:28,PLACED,EAST
ORD000065,CUST00247,2026-03-20 14:44:52,PLACED,CENTRAL
ORD000066,CUST00753,2026-05-09 12:46:17,DELIVERED,SOUTH
ORD000067,CUST00046,2026-04-03 16:40:10,DELIVERED,CENTRAL
ORD000068,CUST00347,2023-09-17 11:22:40,SHIPPED,WEST
ORD000069,CUST00713,2024-11-11 16:04:41,CANCELLED,SOUTH
ORD000070,CUST00831,2025-04-30 20:21:26,SHIPPED,NORTH
ORD000071,CUST00734,2025-03-21 23:13:32,CANCELLED,NORTH
ORD000072,CUST00301,2024-08-27 14:34:49,SHIPPED,NORTH
ORD000073,CUST00811,2024-01-03 23:45:26,SHIPPED,NORTH
ORD000074,CUST00324,2026-05-20 12:29:52,DELIVERED,CENTRAL
ORD000075,CUST00408,2025-09-11 01:14:27,RETURNED,WEST
